Nume*;Email*;Județ*;Localitate*;Adresă*;Cod poștal*;Criterii de admitere*;Preț*;Servicii* - multiple;Categorii de îngrijire - multiple;Previzualizare imagine;Siglă cămin;Link video;Substituent video;Galerie imagini - multiple;Descriere scurtă*;Descriere*
"Resedinta Alexandrina";;;;;;;;"Asistenta medicala, Consult medical regulat, Evaluare clinica, Infirmiere, Ingrijire bolnavi, Ingrijire bolnavi cu Alzheimer, Ingrijire persoane cu handicap, Ingrijire persoane varstnice, Recuperare medicala, Recuperare neuromotorie";;;;;;;;"Resedinta Alexandrina ofera conditii la cele mai inalte standarde de calitate, intr-un mediu ambiant placut si familial, menit sa confere sentimentul de acasa si de familie. Este situata in zona de nord a capitalei, Pipera – Tunari, zona ferita de zgomot si de poluare si inconjurata de paduri. Accesul este usor, cu auto pe Soseaua Pipera-Tunari sau cu microbuzul 445 de la statia de metrou Pipera pina in Tunari."
"Caminul Sfanta Ecaterina";;;;;;;;"Asistenta medicala, Geriatrie, Gimnastica medicala, Ingrijire bolnavi, Ingrijire persoane cu handicap, Ingrijire persoane varstnice";;;;;;;;"Fiecare om doreste un trai indelungat, dar nici unul nu vrea sa fie batran. (Jonathan Swift) Casa Sf. Ecaterina, situata in Afumati-jud. Ilfov, pune la dispozitie celor interesati asistenta pentru persoane varstnice. La noi, cei dragi dumneavoastra vor beneficia de conditii deosebite de cazare, servicii medicale de cea mai buna calitate precum si de un meniu variat si foarte atent selectat, toate la cele mai inalte standarde conform cerintelor U.E. In plus, se pot bucura de parcul nostru de recreere care ofera o ambianta placuta si linistitoare. Cladirea a fost ridicata in 2010, totul este nou, ales cu atentie pentru a oferi potentialilor nostrii clienti cele mai bune conditii. Personalul este foarte atent selectat si instruit pentru a raspunde celor mai exigente cereri. Va invitam sa ne vizitati! La noi va veti simti din nou tineri!"
"Caminul Stejarul";;;;;;;;"Asistenta medicala, Consult medical regulat, Evaluare clinica, Ingrijire persoane varstnice";;;;;;;;"Caminul Stejarul este amplasat intr-o zona foarte linistita , ferita de zgomotul , praful si poluarea citadina. Practic, face parte dintr-un complex de case care apartin aceleiasi familii dispunand de o suprafata utila de 250 mp precum si de o gradina de 1000 mp amenajata cu spatii verzi, pavilion, sezlonguri, bancute, mese si scaune precum si foarte multe flori."
"Caminul de Batrani Mihaela";;;Bucuresti;;;;;"Asistenta medicala, Consiliere psihologica, psihoterapie, Consult medical regulat, Evaluare clinica, Gimnastica medicala, Ingrijire bolnavi, Ingrijire bolnavi cu Alzheimer, Ingrijire persoane cu handicap, Ingrijire persoane varstnice, Recuperare medicala";;;;;;;;"Caminul de batrani Mihaela situat in Saftica, specializat in boala Alzheimer, ofera cazare, mese, supraveghere, ingrijire si asistenta medicala batranilor. Tarif de la 3500 Ron/luna. Ne ocupam si de obtinerea certificatului de handicap (se pot obtine pana la 2500 Ron/luna). Colaboram cu medic de familie, medic generalist, medic geriatru, psiholog, psihiatru, neurolog, personal specializat pentru recuperare medicala, diabetolog, ortoped, medic specialist medicina interna. Caminul functioneaza intr-o vila noua de 600 mp, cu o gradina spectaculoasa de 2.200 mp cu livada de pomi fructiferi si seamana mai curind cu o pensiune de vacanta decat cu un camin de batrani."
"Casa Mandescu";;;Jilava;;;;;"Asistenta medicala, Consiliere psihologica, psihoterapie, Consult medical regulat, Evaluare clinica, Gimnastica medicala, Ingrijire bolnavi, Ingrijire bolnavi cu Alzheimer, Ingrijire persoane cu handicap, Ingrijire persoane varstnice, Recuperare medicala, Recuperare neuromotorie";;;;;;;;"Descriere Am deschis un al doilea centru de ingrijire si tratament batrani la doar 15 minute distanta de Bucuresti, in Comuna Jilava, Strada 23 August , nr. 33 “Casa Mandescu” , a doua noastra locație care a devenit acasă în adevăratul sens al cuvântului pentru beneficiarii noștri, cărora încercăm zi de zi să le oferim o bătrânețe lipsită de griji prin îngrijire corespunzătoare, terapie ocupațională, dar și sprijin moral. SPATII, DOTARI SI FACILITATI Camere spatioase, TV satelit, aer conditionat, telefon, internet); Living spatios dotat cu TV satelit, combina muzicala si DVD; Facilitati pentru deplasare persoane cu handicap; Bucatarie spatioasa, utilata modern; Curte amenajata; Cabinet medical primitor Lift SERVICII GAZDUIRE SENIORI Gazduire si ingrijire persoane varstnice pe perioada scurta sau nedeterminata; Ingrijire persoane varstnice cu handicap sau diferite afectiuni; Asistenta si control medical permanent; Kinetoterapie si gimnastica medicala; Servicii de coafura, frizerie, manichiura, etc. Meniuri zilnice diversificate si adaptate indicatiilor medicale (3 mese si 2 gustari zilnic). Va asteptam cu preturi promotionale!"
"Teomar Sante";;;;;;;;;;;;;;;;"Caminul nostru este infiintat recent cu un numar redus de rezidenti in ideea de a crea atmosfera familiara de acasa pentru beneficiari. Hrana se prepara in bucataria proprie autorizata din produse proaspete achizitionate din hypermarketuri. Oferim rezidentilor nostri supraveghere medicala permanenta prin asistente medicale si infirmiere, asistenta medicala prin medic de familie, medic psihiatru, medic neurolog, psiholog. Kinetoterapia se realizeaza cu personal licentiat la patul bolnavului sau in sala special amenajata. Rezidentii nostri beneficiaza de activitati de ergoterapie prin personal specializat pentru a evita monotonia zilnica. De asemenea organizam aniversarea zilelor de nastere, a zilelor onomastice si mese festive de Craciun, Paste si Anul Nou. Pentru doritori, colaboram cu preotul Parohiei pentru confesiune si alte activitati religioase."
"One and One Nursing Home";;;;;;;;"Asistenta medicala, Consiliere psihologica, psihoterapie, Consult medical regulat, Evaluare clinica, Geriatrie, Gimnastica medicala, Infirmiere, Ingrijire bolnavi, Ingrijire bolnavi cu Alzheimer, Ingrijire persoane cu handicap, Ingrijire persoane varstnice, Recuperare medicala, Recuperare neuromotorie, Reflexoterapie";;;;;;;;"Deschis in 2007, One To One Nursing Home este una din primele institutii de acest fel din Romania. Creat la cele mai inalte standarde occidentale, One to One a fost conceput si construit in cele mai mici detalii pentru a servi acestui scop, beneficiind de dotari tehnice de ultima ora. Unul dintre principalele obiective ale One to One Nursing Home este sa ofere la cel mai inalt standard acomodare si ingrijire personalizata pentru fiecare rezident in parte, in acelasi timp, pastrand si incurajand independenta si intimitatea fiecaruia. One to One Nursing Home, cu o capacitate de aproximativ 100 de locuri este amplasat in Saftica, intr-un parc de peste 9000 mp cu gradini, livezi si o mica promenada pe marginea lacului Cociovalistea. Zona pitoreasca ofera liniste si relaxare rezidentilor sai."
"Asociatia Mosia Bunicilor";;;;;;;;;;;;;;;;"Dupa modelul din Florida, Canada, Elvetia ( Senior Citizen Village ), am construit un complex ideal pentru persoane de varsta a treia, amplasat in mediu natural langa Bucuresti. Nu e vorba de un azil conventional de batrani! Oferim locuinte private si servicii aferente pentru stimatii nostri/vostri bunici, intr-o atmosfera linistita, placuta, eleganta, beneficiind de conditii de calitate, asistenta si protectie 24/24 ore in orice zi a saptamanii. Dupa o viata zbuciumata, plina de sacrificii si griji, parintii/bunicii nostri se pot bucura de o batranete frumoasa, programul nostru oferindu-le posibilitatea de a inchiria casa din poveste. Casa bunicilor poate deveni in acelasi timp casa de la tara/de vacanta dorita de orice bucurestean, care traieste stresat intr-o metropola aglomerata si poluata. Pentru toata familia, tineri si varstnici, casa din poveste a bunicilor poate deveni locul ideal de petrecere a timpului liber departe de aglomeratia urbana oricand si cat timp doreste ( nu exista interdictii pentru vizitare !) Aproape de curtea bunicilor se poate pescui in balta Pasarea sau se pot culege ciupercute in paduricea alaturata. Copii pot vedea iepurasi si alte animalute in plina natura. In final toata lumea se poate relaxa la un gratar in curte. Conceptul “Mosia Bunicilor” ofera locatarilor continuitatea vietii independente, obisnuite impreuna cu alegerea serviciilor complementare necesare odata cu inaintarea in varsta."
"Caminul Rosen";;;Bucuresti;;;;;"Asistenta medicala, Consiliere psihologica, psihoterapie, Consult medical regulat, Gimnastica medicala, Ingrijire bolnavi, Ingrijire bolnavi cu Alzheimer, Ingrijire persoane varstnice, Recuperare medicala, Recuperare neuromotorie";;;;;;;;"Centrul rezidential pentru persoane varstnice “Amalia si Sef Rabin Dr. Moses Rosen” este cel mai mare centru pentru persoane varstnice din Bucuresti si Sudul Romaniei, cu o capacitate de 164 de locuri ofera servicii de ingrijire si asistenta varstnici la cele mai inalte standarde de calitate. Misiunea Centrului rezidential pentru persoane varstnice “Amalia si sef Rabin Dr. Moses Rosen” este de a oferi asistenta sociala si medicala de inalta calitate pentru a spori bunastarea seniorilor nostri, asa cum o facem inca din 1979. Spatiul fizic-locativ, dar in egala masura si atmosfera familiala, sunt concepute pentru a veni in intampinarea nevoilor persoanelor varstnice: – Asistenta sociala – Asistenta psihologica – Kineto si fizioterapie – Asistenta medicala – Programe ocupationale si de socializare in cadrul Clubului de Ergoterapie si Creatie pentru “imbatranire activa”. – Programe derulate cu participarea unor tineri voluntari actori, regizori, coregrafi, muzicieni, fotografi (meloterapie, terapie prin miscare si dans). Bucatarie ocupationala, spatii pentru aniversari sau evenimente sociale, sala pentru vizitatori, sala de mese, bibloteca si sala de calculatoare, special amenajate pentru a asigura accesibilitatea si a oferi comfort locativ. Jim Rohn spunea: “O persoana careia ii pasa de alta persoana este darul cel mai de pret al vietii”. Pornind de la acest motto, ne-am definit atitudinea fata de beneficiari: – Promovarea unui mod de trai sanatos pentru seniorii nostri Furnizarea de resurse excelente si accesibile care imbunatatesc calitatea vietii pentru persoanele in varsta si apartinatorii acestora. – Imbunatatirea continua a serviciilor furnizate pentru seniori. Ca raspuns la nevoile in schimbare ale societatii prin elaborarea si implementarea unor programe de reintegrare pentru seniorii fragili si in situatii speciale. – Imbunatatirea continua a serviciilor furnizate. Centrul rezidențial pentru persoane vârstnice “Amalia și Șef Rabin Dr. Moses Rosen” este situat în București, sectorul 1, Str. Jimbolia nr. 105 lânga Parcul Bazilescu, și funcționeaza coordonat de Departamentul de Asistența Sociala și Medicala din cadrul Federației Comunitații Evreiești din România. Amplasamentul centrului permite utilizatorilor acces liber la toate serviciile și facilitațile-centrul este amplasat la 500 detri de stația Metrou Parc Bazilescu (M4 Gara de Nord – Straulești) Cladirea în care își desfașoara activitatea centrul rezidențial a fost construita în 1979, are o capacítate de 164 de locuri și a fost renovata în 2013. Suprafața construita este de 2145 mp iar suprafața construita desfașurata este de 7686mp dispuși pe 3 nivele + demisol (etaj tehnic) D+P+2E. Centrul dispune de o curte generoasa de 10.000 mp dotata cu banci și foișor, fiind chiar în continuarea Parcului Bazilescu, pentru activitați recreative pe timpul verii. Centrul are paza asigurata non-stop, accesul în incinta se face doar controlat pentru siguranța seniorilor noștri."
"Paradisul Bunicilor";;;Bucuresti;;;;;"Asistenta medicala, Consult medical regulat, Evaluare clinica, Ingrijire bolnavi, Ingrijire bolnavi cu Alzheimer, Ingrijire persoane varstnice, Recuperare medicala";;;;;;;;"Caminul de batrani Paradisul Bunicilor ofera cazare la cele mai mici preturi Caminul de batrani Paradisul Bunicilor este locul unde oferim persoanelor varstnice un stil de viata ferit de grijile specifice varstei. Este locul perfect unde seniorii sunt foarte bine ingrijiti, specialistii ocupandu-se permanent de pastrarea, intretinerea si imbunatatirea conditiei medicale, fizice si psihice. Calitatea serviciilor si dotarilor reprezinta principiul de baza in asigurarea conditiilor optime de ingrijire a persoanelor varstnice care au ramas singure sau care au probleme de sanatate si care cauta un loc linistit si deosebit unde sa socializeze. Pana la 01.12.2020 reduceri substantiale de tarife pentru camerele cu 2, 3 si 4 locuri."
"Casa Anisia";;;;;;;;;;;;;;;;"Asociatia ‘Casa Anisia’ este un camin particular modern, care ofera ‘o raza de lumina’ persoanelor varstnice, ajutandu-i sa-si accepte neputinta si problemele specifice varstei, oferindu-le un suport in desfasurarea activitatilor de baza si sprijin pentru o viata activa. Dispunand de un personal calificat si dedicat, dorinta noastra este sa ajutam persoanele varstnice si se simta ca intr-o familie. Este situat la Seusa, la 9 km de Alba Iulia."
"Asezamantul pt. persoane varstnice SFANTUL ANDREI";;;;;;;;;;;;;;;;"Asezamantul pentru persoane varstnice Sfantul Andrei a fost infiintat in anul 2007. Este situat in cartierul Barabant, din municipiul Alba Iulia. Aici sunt furnizate servicii sociale pe durata nedeterminata unui numar de 56 de persoane varstnice: servicii de cazare, servicii medicale, servicii de ingrijire, servicii sociale si de consiliere psihologica, servicii de alimentatie, etc. In functie de gradul de dependenta fizica si/sau psihica al beneficiarului, se stabileste un pachet de servicii personalizat. Pachetul de servicii se stabileste impreuna cu beneficiarul si/sau familia acestuia si se poate modifica in functie de evolutia starii de sanatate a beneficiarului, oricand in cursul unei luni. Asezamantul pentru persoane varstnice Sfantul Andrei este locul unde batranetea nu mai este o povara."
"Casa pentru bunici Maria Mirabela";;;;;;;;;;;;;;;;"Asociația „Maria Mirabela” are o îndelungată experienţă în prestarea de servicii sociale. Activitatea a demarat încă din 2005, când asociaţia a înfiinţat o casă de tip familial pentru copiii din sistemul de protecţie a copilului. Din această primavara mai precis din 15 martie 2018 ne vom extinde paleta de servicii prin înfiinţarea unui cămin pentru bătrâni. Acesta se va numi Casa pentru bunici „Maria Mirabela” şi este localizat la Draşov, comuna Spring în judeţul Alba."
"Asociatia Casa Sfantul Nicolae";;;;;;;;"Asistenta medicala, Consiliere psihologica, psihoterapie, Consult medical regulat, Evaluare clinica, Gimnastica medicala, Ingrijire persoane varstnice, Recuperare neuromotorie";;;;;;;;"Casa Sfantul Nicolae este un imobil nou construit, racordat la utilitati si perfect functional. Caminul de batrani are in propietate o gradina cu pomi fructiferi si teren pentru cultivarea legumelor. Este situat in municipiul Alba Iulia, intr-o zona plina de culturi agricole si verdeata si este inconjurat de locuinte particulare, linistite."
"Azilul de batrani Doctor PSI";;;;;;;;"Asistenta medicala, Consiliere psihologica, psihoterapie, Consult medical regulat, Evaluare clinica, Gimnastica medicala, Ingrijire bolnavi, Ingrijire bolnavi cu Alzheimer, Ingrijire persoane varstnice, Recuperare medicala, Reflexoterapie";;;;;;;;"La centrul de ingrijire pentru batrani , cei dragi si in varsta beneficiaza de ingrijire atenta, programe de nutritie adecvate, ingrijire specializata pentru maladia Alzheimer si pentru efectele accidentelor vasculare, asistenta in recuperare, toate la cele mai mici preturi. Misiunea Centrului de ingrijire batrani este de a redobandi sanatatea si buna dispozitie a persoanelor de varsta a treia. Zona in care ne veti gasi este una linistita si nepoluata, unde va veti putea regasi si redobandi linistea si sanatatea. Alaturi de un personal bine pregatit si binevoitor, va oferim si servicii de cea mai buna calitate. SCOPURILE NOASTRE: Asiguararea unei batraneti demne si sigure; Crearea atmosferei familiale; Asigurarea si garantarea unui standard de viata care sa corespunda nevoilor celor varstnici; Socializarea persoanelor de varsta a treia, prin atragerea in activitati culturale, ergoterapie,turism etc Respectarea intimitatii si confidentialitatii in procesul de asistare. Dezvoltarea unei relatii bazate pe incredere si acceptare; Obtinerea de rezultate pozitive cand medicina nu are resurse suficiente pentru a trata trupul, noi ne oferim sa tratam sufletul; Prevenirea si diminuarea simptomelor sindromului de institutionalizare; Cultivarea si armonizarea relatiei beneficiar, salariat avand la baza sentimente de stima, empatie, prietenie, respect reciproc, solicitudine, aparteneta"
"Centrul Social Maltez Dorobanti";maltadorobanti@yahoo.com;;;"Strada Episcopiei 32, Arad, Romania";;;;;;;;;;"https://www.camine-batrani.ro/wp-content/uploads/2019/09/WhatsApp-Image-2023-06-28-at-00.05.51.jpeg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/WhatsApp-Image-2023-06-28-at-00.05.52-1.jpeg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/WhatsApp-Image-2023-06-28-at-00.05.52-2.jpeg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/WhatsApp-Image-2023-06-28-at-00.05.52-3.jpeg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/WhatsApp-Image-2023-06-28-at-00.05.52-4.jpeg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/WhatsApp-Image-2023-06-28-at-00.05.52-5.jpeg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/WhatsApp-Image-2023-06-28-at-00.05.52.jpeg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/WhatsApp-Image-2023-06-28-at-00.05.53-1.jpeg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/WhatsApp-Image-2023-06-28-at-00.05.53-2.jpeg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/WhatsApp-Image-2023-06-28-at-00.05.53-3.jpeg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/WhatsApp-Image-2023-06-28-at-00.05.53-4.jpeg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/WhatsApp-Image-2023-06-28-at-00.05.53-5.jpeg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/WhatsApp-Image-2023-06-28-at-00.05.53.jpeg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/WhatsApp-Image-2023-06-28-at-00.05.54-1.jpeg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/WhatsApp-Image-2023-06-28-at-00.05.54-2.jpeg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/WhatsApp-Image-2023-06-28-at-00.05.54-3.jpeg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/WhatsApp-Image-2023-06-28-at-00.05.54-4.jpeg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/WhatsApp-Image-2023-06-28-at-00.05.54-5.jpeg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/WhatsApp-Image-2023-06-28-at-00.05.54.jpeg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/WhatsApp-Image-2023-06-28-at-00.05.55-1.jpeg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/WhatsApp-Image-2023-06-28-at-00.05.55-2.jpeg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/WhatsApp-Image-2023-06-28-at-00.05.55-3.jpeg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/WhatsApp-Image-2023-06-28-at-00.05.55-4.jpeg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/WhatsApp-Image-2023-06-28-at-00.05.55.jpeg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/WhatsApp-Image-2023-06-28-at-00.05.56-1.jpeg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/WhatsApp-Image-2023-06-28-at-00.05.56-2.jpeg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/WhatsApp-Image-2023-06-28-at-00.05.56-3.jpeg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/WhatsApp-Image-2023-06-28-at-00.05.56.jpeg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/WhatsApp-Image-2023-06-28-at-00.05.57-1.jpeg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/WhatsApp-Image-2023-06-28-at-00.05.57-2.jpeg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/WhatsApp-Image-2023-06-28-at-00.05.57-3.jpeg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/WhatsApp-Image-2023-06-28-at-00.05.57-4.jpeg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/WhatsApp-Image-2023-06-28-at-00.05.57-5.jpeg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/WhatsApp-Image-2023-06-28-at-00.05.57.jpeg";;"„Pastrarea credintei si ajutorarea nevoiasilor” Serviciul de Ajutor Maltez in Romania (SAMR) este o asociatie non-profit cu sediul central la Cluj-Napoca. De 32 de ani, prin intermediul a 19 filiale si sucursale in tara, derulam programe in beneficiul celor aflati in nevoie – varstnici, bolnavi, persoane cu dizabilitati si alte grupe vulnerabile. 1200 de voluntari se implica in mod constant pentru a-i ajuta sa duca o viata demna, fara distinctie de etnie, religie, sex sau apartenenta politica. Valorile crestine si principiile umanitare se afla la fundamentul actiunilor noastre: Serviciul de Ajutor Maltez in Romania este purtatorul misiunii Ordinului Suveran de Malta. “Centru de Ingrijire si Asistenta pentru Persoane Adulte cu Dizabilitati” din Com. Dorobanti, aflat la 25 de km de Arad, functioneaza din anul 1998, recunoscut pentru realizarile sale in domeniul asistentei sociale si medicale. Centrul este destinat persoanelor cu deficiente locomotorii, deficiente asociate, incat si a persoanelor de varsta a treia. Dintre beneficiari putem aminti si de persoane mai tinere cu dizabilitati , al caror abandon social a coincis cu imbatranirea familiei, pierzand astfel suportul acesteia. in aceste conditii devine imposibila mentinerea starii de sanatate a persoanei deficiente, la un nivel acceptabil, la domiciliul acesteia, necesitand asistare permanenta intr-o institutie de profil. Prin serviciile oferite in cadrul acestui proiect, se asigura un grad ridicat de igiena corporala si habitational, satisfacerea nevoilor speciale si recuperarea in limita diagnosticului medical si de asemenea prevenirea izolarii sociale. Persoanele rezidente in Centrul Maltez din Dorobanti, participa la excursii comune organizate de voluntari, mai putin cei a caror stare de sanatate nu permite deplasarea, la serbarile zilelor de nastere, la concerte si piese de teatru organizate in comuna. Serviciile acordate sunt urmatoarele : Conditii de locuit deosebite, intr-un imobil special amenajat care este menit sa deserveasca nevoile speciale ale deficientilor locomotor: Camere cu doua si trei paturi Cablu TV, acces internet – WiFi Lift persoane handicap Buton de urgenta (panica ) la fiecare pat Curte mare cu spatii verzi si filagorie pentru recreere Alimentatie: Centrul detine bucatarie proprie, cu personal calificat. Meniurile sunt alcatuite dupa necesitatile beneficiarilor. Alimentatie corespunzatoare, personalizata in functie de regimul alimentar. Servicii medicale: Supraveghere non stop Consultatii acordate de catre medicul de familie Medic psihiatru – la cerere si contra cost Consult psihologic – la cerere si contra cost Administrarea medicamentelor conform schemei de tratament Monitorizarea zilnica a parametrilor fiziologici Masaj, gimnastica recuperatorie Asistenta religioasa Programe recreative zilnice: Psiho-ergo-melotarepie Activitati ludice Jocuri sociale Jocuri si activitati de grup Programe religioase, slujbe, discutii personale Activitati in aer liber Servicii contra cost: Analize medicale – pe baza biletului de trimitere si/sau fara Consultatii de catre medici specialisti Com. Dorobanti, jud. Arad Str. Principala, nr. 67-68 Cod postal 315201, Romania Contact : 0257 535 174 0720 062 987 0720 062 956 maltadorobanti@yahoo.com www.maltez.ro Tariful variaza intre 600 – 700 de Euro / luna, in functie de gradul de dependenta, nevoile de ingrijire si tratament ale fiecarei persoane."
"Caminul Bunicii Nostri";;;;;;;;"Asistenta medicala, Consult medical regulat, Geriatrie, Ingrijire bolnavi, Ingrijire bolnavi cu Alzheimer, Ingrijire persoane cu handicap, Ingrijire persoane varstnice, Reflexoterapie";;;;;;;;"Bunicii nostri este un camin privat dedicat persoanelor varstnice care au nevoie de ingrijire de specialitate, tratament si atentie deosebita pe care, constransi de necesitatile vietii cotidiene, familia si apropiatii nu le mai pot oferi. Caminul Bunicii nostri ofera rezidenta permanenta sau temporara, cazare si masa, intr-un spatiu primitor. Rezidentii caminului beneficiaza de ingrjire medicala de specialitate, consiliere psihologica, tratament individualizat si atentie deosebita pe care, constransi de necesitatile vietii cotidiene, familia si apropiatii nu le mai pot oferi. Totodata, locuind in cadrul centrului, fiecare varsnic beneficiaza de oportunitati de socializare si activitati recreative de grup, care si poate imbunatati starea generala."
"Centrul Medical de Ingrijire si Recuperare Izvorul";;;;;;;;"Asistenta medicala, Consiliere psihologica, psihoterapie, Consult medical regulat, Evaluare clinica, Geriatrie, Gimnastica medicala, Ingrijire bolnavi, Ingrijire bolnavi cu Alzheimer, Ingrijire persoane cu handicap, Ingrijire persoane varstnice, Recuperare medicala, Recuperare neuromotorie, Reflexoterapie";;;;;;;;"Un loc cald, primitor care trateaza toti rezidentii ca in familie. TOTI BENEFICIAZA DE INGRIJIRI SI RECUPERARE IN FUNCTIE DE AFECTIUNI. Se creaza o fisa individuala de terapie. Aici este centrul unde se aplica terapii alopate alaturi de cele complementare. In plus punem mare valoare pe echilibrarea emotionala a tuturor rezidentilor si ei pot beneficia gratuit de consiliere psihologica."
"Centrul pt persoane in varsta Gianina";;;;;;;;"Asistenta medicala, Ingrijire persoane varstnice";;;;;;;;"Dupa o vasta experienta privind ingrijirea persoanelor varstnice din SUA am deschis si in Romania un camin de tip home care, functionam de 7 ani."
"Casa de batrani Apus de soare";;;;;;;;"Asistenta medicala, Consiliere psihologica, psihoterapie, Consult medical regulat, Evaluare clinica, Gimnastica medicala, Ingrijire persoane varstnice, Recuperare medicala";;;;;;;;"Casa de batrani Apus de soare este un loc in care batranetea nu mai e o povara ci bucuria si frumusetea de a trai. Aici gasiti un loc linistit in care puteti avea parte de ingrijire intr-un cadru de familie. Asistenta medicala realizata de personal calificat prin care dorim sa venim in intampinarea nevoilor celor varstnici. La noi gasesti confort si ospitalitate pentru cei pe care si iubesti. Scopul pentru care existam este de a oferi o ingrijire de cea mai buna calitate si un mediu de familie celor batrani, intr-un loc retras si linistit in care va puteti petrece batranetea linistita. Casa de batrani este situata in localitatea Sambateni, la 20 minute de Arad, intr-un loc ferit de poluare si de agitatia din oras."
"Casa Gurban";;;;;;;;;;;;;;;;"Harana: Se asigura alimentatie corespunzatoare calitativ si cantitativ conform normelor legale, se asigura 3 mese complete pe zi si 2 gustari, asigurandu-se regimul dietetic conform prescriptilor medicului, atunci cand este cazul. Servicii sociale: se evalueaza si reevalueaza situatia beneficiarului pentru indentificarea nevoilor in vederea acordari de servicii adecvate. Servicii de recuperare si reabilitare: Se asigura activitati de recuperare in baza programului individualizat de recuperare. Servici de ingrijire socio-medicala: Se acorda servicii de supraveghere si mentinerea sanatatii in concordanta cu nevoile beneficiarului, se asigura administrarea medicamentului comform prescriptilor medicale, se acorda tratamente curente si de urgenta. Servicii de ingrijire si suport: Se asigura beneficiarului obiecte de igiena personala, asistenta pentru mentinearea igienei personale, sprijin in toate activitatile in care acesta il solicita. Servicii de intretinere: Se asigura igienizarea obiectelor personale de imbracaminte, curatenie si dezinfectie pentru toate spatiile conform normelor legale in vigoare."
"Clinica de Geriatrie NeoKlinik";;;;;;;;"Asistenta medicala, Consiliere psihologica, psihoterapie, Consult medical regulat, Evaluare clinica, Geriatrie, Gimnastica medicala, Ingrijire bolnavi, Ingrijire bolnavi cu Alzheimer, Ingrijire persoane varstnice, Recuperare medicala, Recuperare neuromotorie, Reflexoterapie";;;;;;;;"Clinica de geriatrie Neoklinik Moneasa – Cazare si masa in regim de 3 stele, supraveghere medicala permanenta prin medicii NeoKlinik. Statiunea Moneasa, recenta reamenajata este considerata Perla Muntilor Apuseni."
"Camin de batrani particular DORA";;;;;;;;"Asistenta medicala, Consult medical regulat, Ingrijire bolnavi, Ingrijire bolnavi cu Alzheimer, Ingrijire persoane varstnice";;;;;;;;"Centrul de ingrijire a persoanelor varstnice a fost infiintat pentru a-i putea ajuta pe cei care ajung la o varsta inaintata si nu se pot intretine singuri. Fundatia ii primeste atat pe cei care au o sursa de venit cat si varstnici care nu au pe nimeni si vin din partea Institutiilor abilitate. Cu aceasta ocazie am dori sa transmitem, tuturor Institutiilor din Judetul Arad si nu numai, sa apeleze cu incredere la Fundatia noastra intrucat primim varstnici si bolnavi care necesita ingrijire speciala la pat. Cei care lucreaza in strainatate si nu au posibilitatea de a-si ingriji parintii pot apela cu incredere la serviciile noastre precum si orice persoana care solicita ingrijire."
"Asociatia Stefania Etatis";;;;;;;;"Asistenta medicala, Consult medical regulat, Geriatrie, Gimnastica medicala, Ingrijire bolnavi, Ingrijire persoane cu handicap, Ingrijire persoane varstnice, Reflexoterapie";;;;;;;;"Orice persoana in etate doreste sa primeasca de la cei din jur grija, atentie si respect. Pornind de la aceste valori si stiind ca parintii nostri merita ce-i mai bun, am construit cel mai nou camin de batrani din Arad, unde va asteptam cu drag."
